Player,Minutes,Starting Price,Final Teams Selected By %,Interceptions,Tackles Won,Ball Recovery Points,Original Points
Aaron Lennon,1541,5.0,0.1,15,18,6,60
Abdoulaye Doucouré,2536,5.5,1.2,41,45,19,90
Adam Forshaw,1526,4.5,0.1,30,28,13,38
Adam Lallana,1559,5.5,0.1,27,22,10,44
Adama Traoré,1069,6.0,1.0,4,9,0,44
Ademola Lookman,1446,6.0,0.3,20,25,6,76
Ainsley Maitland-Niles,263,5.5,0.0,3,4,1,12
Albert Sambi Lokonga,1129,5.0,0.1,23,13,8,32
Alejandro Garnacho,12,4.5,0.0,0,0,0,2
Alex Iwobi,2029,6.0,0.3,40,28,14,78
Alex Král,1,4.5,0.1,0,0,0,1
Alex Oxlade-Chamberlain,777,6.0,0.2,8,14,2,42
Alexis Mac Allister,2112,5.5,0.5,23,51,17,93
Allan,2181,4.5,2.9,42,61,22,58
Andre Gomes,614,5.0,0.1,11,9,2,18
Andriy Yarmolenko,303,5.5,0.1,1,0,0,25
Andros Townsend,1452,5.5,2.1,21,15,7,66
Anthony Elanga,1208,5.0,0.8,19,17,6,59
Anthony Gordon,2277,4.5,5.7,36,36,16,100
Anwar El Ghazi,392,6.0,0.3,3,4,0,22
Ashley Westwood,2286,5.5,0.2,43,23,14,63
Ayoze Pérez,438,6.0,0.1,9,6,1,35
Bernardo Silva,2856,7.0,14.0,32,33,10,155
Bertrand Traoré,212,6.0,0.3,0,0,0,13
Billy Gilmour,1852,4.5,3.0,33,22,10,49
Boubakary Soumaré,1095,5.0,0.1,17,13,3,36
Bruno Fernandes,3110,12.0,13.5,38,45,16,151
Bruno Guimarães,1031,5.0,2.8,19,39,13,67
Bryan Gil,86,6.0,0.1,0,3,0,9
Bryan Mbeumo,2905,5.5,1.9,23,25,5,119
Bukayo Saka,2978,6.5,28.8,31,23,6,179
Callum Hudson-Odoi,958,5.5,0.2,5,6,0,49
Carney Chukwuemeka,291,4.5,0.1,4,2,0,16
Chem Campbell,12,4.5,0.2,0,1,0,1
Chiquinho,203,5.5,0.0,6,6,2,20
Christian Eriksen,938,5.5,1.8,10,10,4,43
Christian Nørgaard,3054,5.0,0.6,85,80,45,101
Christian Pulisic,1282,8.0,0.7,11,9,2,77
Christos Tzolis,326,5.0,0.0,2,2,0,16
Cole Palmer,121,4.5,0.1,2,2,0,9
Conor Gallagher,2843,5.5,11.2,43,44,17,140
Crysencio Summerville,126,4.5,0.0,5,4,1,6
Curtis Jones,849,5.0,0.1,10,9,2,40
Dale Stephens,123,4.5,0.0,2,2,1,4
Dan Gosling,164,5.0,0.0,1,1,0,11
Daniel Chesters,1,4.5,0.0,0,0,0,1
Daniel James,2489,6.0,0.5,19,21,7,91
Daniel Podence,1475,5.5,0.2,6,9,1,70
Declan Rice,3178,5.0,4.3,95,53,37,95
Dejan Kulusevski,1259,6.0,10.9,26,16,9,99
Dele Alli,985,6.5,1.0,27,17,9,35
Demarai Gray,2336,5.5,5.2,16,19,3,106
Diogo Jota,2357,7.5,17.3,17,21,3,175
Donny van de Beek,550,6.0,0.3,11,12,5,31
Douglas Luiz,2715,4.5,1.9,61,43,25,89
Dwight McNeil,3104,6.0,0.2,67,36,21,84
Eberechi Eze,599,6.0,0.1,8,5,1,31
Edo Kayembe,795,5.0,0.0,14,15,6,24
Emiliano Buendía,1887,6.5,1.3,18,31,8,107
Emile Smith Rowe,1909,5.5,10.0,20,16,4,125
Enock Mwepu,990,6.0,0.1,16,14,4,58
Fabian Delph,660,4.5,1.3,19,13,7,18
Fabinho,2311,5.5,0.9,56,37,22,97
Fernandinho,956,5.0,0.3,14,16,4,45
Ferran Torres,303,7.0,1.9,1,1,0,26
Francisco Trincão,1328,6.0,0.3,15,15,3,66
Frank Onyeka,1040,5.0,0.1,15,16,4,35
Fred,2026,5.0,0.8,49,38,21,93
Gabriel Martinelli,1855,5.5,3.1,21,19,5,110
Giovani Lo Celso,231,6.0,0.1,3,3,0,11
Granit Xhaka,2327,5.0,0.4,31,24,12,60
Hakim Ziyech,1311,7.5,0.8,20,11,4,79
Hamza Choudhury,284,4.5,0.1,16,2,5,8
Hannibal Mejbri,67,4.5,0.0,1,0,0,1
Harry Winks,904,4.5,1.0,19,7,5,33
Harvey Barnes,2095,7.0,4.2,10,13,2,137
Harvey Elliott,344,5.5,0.1,3,1,0,12
Hélder Costa,21,5.5,0.0,0,0,0,1
Ibrahima Diallo,1016,4.5,0.1,17,20,7,44
Ilkay Gündoğan,1851,7.5,2.6,27,11,6,124
Imrân Louza,1415,5.5,0.0,48,32,21,31
Isaac Hayden,1000,4.5,0.1,20,18,8,28
Isaac Price,13,4.5,0.0,1,0,0,1
Ismaïla Sarr,1862,6.0,2.7,16,7,1,81
Jack Cork,1670,4.5,0.1,34,8,7,48
Jack Grealish,1910,8.0,7.1,16,15,1,86
Jack Harrison,2638,6.0,1.5,41,32,12,117
Jacob Murphy,1457,5.0,0.4,33,17,12,62
Jacob Ramsey,2465,4.5,4.9,38,41,16,109
Jaden Philogene-Bidace,4,5.0,0.0,0,0,0,1
Jadon Sancho,1894,9.5,2.1,24,13,2,91
Jaïro Riedewald,116,5.0,0.0,0,2,0,4
Jakub Moder,1694,4.5,0.5,22,29,11,58
James Maddison,2454,7.0,16.3,20,24,5,181
James McArthur,1434,4.5,1.1,34,26,13,54
James McAtee,18,4.5,0.0,1,0,0,2
James Milner,844,5.0,0.1,22,23,9,38
James Ward-Prowse,3215,6.5,5.3,60,26,17,159
Jamie Shackleton,704,4.5,0.1,10,18,6,19
Jarrod Bowen,2987,6.5,15.0,38,26,10,206
Jean-Philippe Gbamin,65,4.5,0.0,0,1,0,3
Jeff Hendrick,69,5.0,0.0,0,1,0,8
Jeffrey Schlupp,1840,5.5,0.1,25,23,8,86
Jeremy Sarmiento,44,4.5,0.0,1,1,0,5
Jesse Lingard,354,7.0,0.9,4,6,1,29
Jesurun Rak-Sakyi,79,4.5,0.0,3,0,1,4
João Moutinho,2970,5.0,0.7,48,54,20,96
Joe Willock,2037,6.0,0.8,30,44,16,79
Jóhann Berg Guðmundsson,1097,5.5,0.1,17,9,5,33
John McGinn,3090,6.0,1.1,52,61,27,110
Jonathan Rowe,208,4.5,0.0,4,3,1,16
Jonjo Shelvey,1981,5.5,0.1,35,14,10,63
Jordan Henderson,2592,5.0,1.8,43,24,12,110
Jorginho,2271,6.0,3.9,60,46,29,106
Josh Brownhill,2952,4.5,3.6,79,41,28,92
Josh Dasilva,250,5.5,0.0,4,2,0,7
Juan Mata,230,5.0,0.1,2,6,0,10
Juraj Kucka,1917,5.5,0.1,46,47,22,54
Kai Havertz,1802,8.5,5.8,6,13,0,112
Kaide Gordon,8,4.5,0.0,0,0,0,1
Kalvin Phillips,1594,5.0,0.9,34,42,17,39
Kasey McAteer,2,4.5,0.0,0,0,0,1
Ken Sema,844,5.5,0.0,9,8,0,26
Kenny McLean,2707,5.0,0.1,55,24,13,69
Kevin De Bruyne,2196,12.0,18.6,14,14,2,196
Kieran Dowell,905,5.5,0.1,9,7,2,41
Kiernan Dewsbury-Hall,2101,4.5,1.6,27,25,11,70
Leander Dendoncker,1945,5.0,0.3,24,24,5,76
Leandro Trossard,2803,6.5,2.8,29,24,7,141
Leon Bailey,750,6.5,0.4,3,12,3,37
Lewis Bate,145,4.5,0.0,5,0,1,3
Lewis Brunt,23,4.5,0.0,0,0,0,1
Liam McCarron,9,4.5,0.0,0,0,0,1
Lucas Moura,1763,6.5,1.3,22,14,4,87
Luis Díaz,957,8.0,8.0,4,10,2,64
Luka Milivojević,767,5.5,0.0,9,13,2,19
Lukas Rupp,759,4.5,0.2,17,8,4,23
Luke Cundle,179,4.5,0.1,2,3,1,7
Mads Bidstrup,36,4.5,0.1,1,2,1,4
Manuel Lanzini,1777,6.0,0.4,28,18,8,92
Marc Albrighton,1127,5.5,0.1,25,16,8,40
Marcus Rashford,1224,9.5,0.6,12,6,2,63
Mark Noble,325,4.5,0.7,5,7,2,19
Martin Ødegaard,2782,5.5,6.0,22,25,7,131
Marvelous Nakamba,899,4.5,0.1,23,19,9,22
Mason Greenwood,1269,7.5,3.9,4,8,0,71
Mason Mount,2358,7.5,21.9,20,29,6,169
Mateo Kovačić,1552,5.0,1.7,20,40,15,76
Mateusz Klich,2071,5.5,0.3,31,26,10,61
Mathias Jensen,1590,5.0,0.0,33,28,14,54
Mathias Normann,1643,4.5,0.1,25,24,7,52
Maxwel Cornet,1764,6.0,0.8,11,11,1,104
Michael Olise,1127,5.5,0.2,12,15,1,73
Miguel Almirón,1706,5.5,0.2,25,33,9,59
Milot Rashica,2228,5.5,0.1,36,21,12,70
Mohamed Elneny,801,4.5,0.4,18,9,4,27
Mohamed Elyounoussi,2039,5.5,0.2,19,33,5,90
Mohamed Salah,2758,12.5,41.0,15,7,1,265
Moisés Caicedo,660,4.5,0.1,12,12,6,27
Morgan Gibbs-White,7,4.5,0.1,0,0,0,1
Morgan Sanson,349,5.0,0.0,11,8,3,13
Moussa Djenepo,452,5.5,0.0,9,8,5,13
Moussa Sissoko,3220,4.5,2.3,44,40,19,95
N'Golo Kanté,1769,5.0,2.4,44,34,20,79
Naby Keïta,1169,5.0,0.2,20,28,11,65
Nampalys Mendy,1032,4.5,1.1,13,12,4,24
Nathan Redmond,1827,6.0,0.1,21,13,5,79
Nathan Tella,802,5.0,0.0,19,5,4,29
Nemanja Matić,1375,4.5,0.5,32,28,15,52
Nicolas Pépé,681,7.5,0.7,9,11,3,45
Nikola Vlašić,549,6.0,0.0,10,11,2,30
Oghenekaro Etebo,396,4.5,0.2,8,10,5,10
Oliver Skipp,1346,4.5,0.6,19,18,3,34
Oriol Romeu,2890,4.5,0.5,67,54,30,88
Ozan Tufan,334,5.0,0.0,2,2,1,10
Pablo Fornals,2795,6.0,1.3,47,34,14,117
Pascal Groß,2033,6.0,0.3,16,20,2,88
Paul Pogba,1347,7.5,6.3,19,13,4,65
Pedro Neto,459,6.5,0.1,6,5,1,22
Phil Foden,2125,8.0,7.6,17,15,3,137
Philippe Coutinho,1327,7.0,10.6,8,11,1,83
Pierre-Emile Højbjerg,3196,5.0,2.6,70,49,30,109
Pierre Lees-Melou,2261,5.0,0.1,42,40,18,70
Przemysław Płacheta,499,5.0,0.0,9,3,2,18
Raheem Sterling,2121,11.0,2.6,15,18,3,163
Raphinha,2916,6.5,11.6,43,25,9,145
Reiss Nelson,19,5.0,0.0,1,0,0,1
Riyad Mahrez,1485,9.0,4.0,13,6,1,135
Rodri,2884,5.5,1.9,40,46,17,127
Rodrigo Bentancur,1360,5.0,0.1,18,15,5,52
Ross Barkley,174,5.5,0.1,2,1,0,14
Ruben Loftus-Cheek,1384,5.5,0.2,15,20,6,52
Rúben Neves,2659,5.5,0.9,55,43,24,95
Ryan Fraser,1459,5.5,0.3,16,4,1,78
Sadio Mané,2818,12.0,4.8,15,18,4,183
Saïd Benrahma,2162,6.0,10.7,12,23,4,138
Saman Ghoddos,524,5.5,0.0,7,8,2,30
Samuel Kalu,221,5.0,0.0,5,2,2,7
Saúl Ñíguez,478,5.5,0.1,14,8,5,16
Scott McTominay,2386,5.5,0.3,47,33,17,68
Sean Longstaff,1458,4.5,0.5,20,33,11,48
Sergi Canós,2077,5.5,1.0,33,22,9,82
Shandon Baptiste,898,5.0,0.0,21,4,4,35
Shola Shoretire,15,4.5,0.0,0,0,0,1
Solly March,1733,5.5,0.1,31,22,12,61
Son Heung-min,3009,10.0,35.6,29,12,5,258
Sonny Perkins,3,4.5,0.0,0,0,0,1
Steven Alzate,401,5.0,0.0,14,8,6,13
Steven Bergwijn,548,6.0,0.4,4,4,0,55
Stuart Armstrong,1465,6.0,0.2,14,15,3,57
Stuart Dallas,2920,5.5,2.7,78,47,31,80
Stuart McKinstry,3,4.5,0.3,0,0,0,1
Takumi Minamino,178,5.5,0.1,3,2,1,28
Tanguy Ndombélé,481,6.0,0.2,3,10,3,22
Tariqe Fosu,16,5.5,0.0,0,0,0,1
Taylor Richards,23,4.5,0.0,0,0,0,2
Theo Walcott,376,6.0,0.1,7,3,2,12
Thiago Alcântara,1527,5.5,0.6,35,40,18,69
Thomas Partey,2027,5.0,0.2,33,41,16,71
Tim Iroegbunam,90,4.5,0.0,2,2,1,4
Todd Cantwell,438,5.5,0.2,4,11,3,10
Tom Cleverley,1611,5.0,0.1,27,27,9,48
Tom Davies,230,5.0,0.1,8,2,2,12
Tomáš Souček,3061,6.0,3.4,55,41,21,114
Tony Springett,140,4.5,0.0,0,1,0,3
Trézéguet,10,5.5,0.0,0,0,0,1
Tyler Morton,65,4.5,0.0,2,0,0,1
Tyler Onyango,27,4.5,0.0,1,0,0,3
Tyler Roberts,976,5.0,0.1,7,7,2,34
Vitaly Janelt,2295,5.0,0.2,44,35,17,90
Wilfred Ndidi,1617,5.0,0.8,45,47,26,41
Wilfried Zaha,2759,7.0,8.5,24,35,11,150
Will Hughes,1050,5.0,0.1,21,15,8,34
William Smallbone,132,4.5,0.0,2,5,1,5
Yoane Wissa,1268,6.0,0.3,9,8,1,92
Youri Tielemans,2629,6.5,3.5,41,49,20,120
Yves Bissouma,2110,4.5,4.8,55,50,28,66